DIGITAL_OBJECT - URL_TEXT,DIGITAL_OBJECT - URL,RECORD_URL,DESC,YEAR_DISPLAY,NAME,WILL_NO,YEAR,SHIP,PROPERTY,PROPERTY_INDEX,CORRES_SUBJ,SUBJ_SR,NAME_TITLE,NAME_RANK,NAME_SEE_ALSO,DESC_SR
CSO22/1/106 file number 2263,,https://stors.tas.gov.au/NI/1782817,Chief Police Magistrate - Dismissal of H S Hutchinson for insolvency and replacement as Police Clerk by A R Truro admd am application for employment by GW Wilson,,"Hutchinson, Henry S",2263,1844,,,,,,,,,
CSO3-1-1 / A / Image 5,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-5,https://stors.tas.gov.au/NI/1590071,"Recommending Mr Corny (706)|His mechanics (707)|Complaint of his men (99)|Complaint by servants (398)|Enclosing an official letter (708)|Extension of land (709)|William Archer sent (710)|Copy of a memorial to Sir Thomas Brisbane (711)|Recommended as a magistrate by Colonel Sorell (2863)|Land (3034)|Linny case (1954)|Ferry on the South Esk (667)|Opinion of steam engines (679)|Respecting his assigned servants (6833)|Stack of oats burnt (9632)|Wheat stacks burnt (11913)|That John Tenant be appointed Special Constable (14617)|To Secretary of State, land regulations (18971)",1824-1836,"Archer, Joseph","706, 707, 99, 398, 708, 709, 710, 711, 2863, 3034, 1954, 667, 679, 6833, 9632, 11913, 14617, 18971",1824-1836,,,,,,,,,
CSO3-1-1 / A / Image 6,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-6,https://stors.tas.gov.au/NI/1590078,Land (3608)|Application for crown servants for himself and brothers (3854)|For an allotment joining the bridge over the North Esk (8456)|Loss of brandy in the Commissariat Store (8548)|Four men absconded from duty (10533)|Men not returned after punishment (13973),1824-1836,"Archer, William J","3608, 3854, 8456, 8548, 10533, 13973",1824-1836,,,,,,,,,
CSO3-1-1 / A / Image 9,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-9,https://stors.tas.gov.au/NI/1590112,Seed wheat (715)|Application for Henry Webb (717)|Land (6928)|For an assigned servant (7372)|To be appointed District Constable (9765),1824-1836,"Atkins, Thomas","715, 717, 6928, 7372, 9765",1824-1836,,,,,,,,,
CSO3-1-1 / A / Image 9,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-9,https://stors.tas.gov.au/NI/1590120,An insolent law,1824-1836,"Atkins, William",16564,1824-1836,,,,,,,,,
CSO3-1-1 / A / Image 12,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-12,https://stors.tas.gov.au/NI/1590148,Opinion as to Joseph Morgan (1292)|Respecting Mr Lyons (627)|Libel in the Tasmanian (645)|His letters for the year 1824 (655)|Sundry papers relative to the Supreme Court expenses (659)|Relative to sale of liquor without a licence (660)|Libel in the Tasmanian (653)|Respecting the fees in the Supreme Court (663)|Account of fees received Attorney General's fees (367)|A list of references to (633)|Opinion on memorial of W.H Brown (666)|Appointment of Thomas McCleland Esquire (669)|Constable cannot be appointed or removed by any other authority than that of the Lieutenant Governor (632)|Relative to the trial of William Nottingham (688)|Opinion as to the Act 55 George 3 extending to this Colony (635)|Opinion on the indents that certain convicts are enacted to the contractor for a term short of their sentence (691)|To prepare an act for the execution of persons convicted of murder (621)|For Edward Hagan confessions (701)|As to the messengers being withdrawn from his office sent to Solicitor General (703)|Advance of salary by the Colonial agent to Thomas McCleland (711)|Mr Gillebrands removal and half salary. McCleland (715)|Allowance to in lieu of stationery (716)|His opinion respecting the landing of the American ships cargoes  (707)|To be supplied with the newspapers  (384)|His expenses on the circuit to Launceston (714)|Appointment of Montague and salary (740)|Under what circumstances mercy might be extended to Charles Jackson and Mr Taylor (755)|Mode of conducting criminal cases in the Supreme Court  (769)|Proclamation to be issued administration devolved on Governor Arthur (765)|Clerks employed in his office (709)|Respecting articles of war (770)|Seat in church (293)|Articles purchased for office (15439)|As to the power of Courts Martial (807)|Leave of absence (781)|Two persons forging a will (15776)|Proposing a law almanack (814)|A law in default of payment of fines (768)|Cause of acquittals before Supreme Court 2 Sessions oftener to be held for convicts (822)|Complaining number of references made to him (821)|Landing prisoners for safe custody (410)|For the loan of newspapers (805)|Paying jury men (17850)|As to special commissions for the trial of prisoners (825)|As to special commissions for the trial of prisoners (16657)|To employ Mr Ross in action against Robertson (832)|To employ Mr Ross in action against Robertson (9625)|Trial of R Boyan  (18623)|Preparation of Acts of Council and correspondence respecting (1785)|Mr McDowell to act (803)|As to special commissions for the trial of prisoners  (825)|To emply W.  (832)|Landing prisoners for safe custody (16515)|Trial of R Boyan (831),1824-1836,,"1292, 627, 6714, 829, 17541, 1733, 645, 17510, 836, 13690, 1959, 655, 17528, 828, 13690, 2218, 659, 17541, 849, 16657, 2316, 660, 17510, 860, 18412, 2495, 653, 17528, 837, 16243, 3087, 663, 17550, 862, 17000, 2316, 367, 17348, 865, 13690, 4423, 633, 17348, 861, 18388, 4653, 666, 9625, 876, 18473, 4900, 669, 17496, 857, 1785, 4956, 632, 1785, 886, 11073, 5634, 681, 17496, 882, 18362, 688, 883, 900, 11073, 5653, 635, 1785, 909, 18403, 5639, 691, 17496, 628, 18459, 5854, 370, 17178, 890, 18459, 621, 1785, 896, 16243, 6244, 701, 17680, 830, 18459, 6191, 703, 17625, 903, 16248, 6209, 711, 883, 891, 18623, 3909, 715, 17390, 906, 16657, 541, 716, 1785, 908, 15372, 6510, 707, 6032, 905, 15372, 783, 742, 17496, 911, 13482, 6209, 384, 16121, 915, 4320, 8680, 714, 6714, 907, 17528, 8765, 740, 17850, 555, 1136, 8092, 755, 17589, 937, 18767, 9385, 760, 17541, 939, 18766, 769, 862, 942, 18740, 9391, 765, 16657, 892, 1785, 9390, 709, 17544, 853, 18265, 9393, 770, 17870, 919, 18488, 9396, 293, 1901, 996, 18828, 9395, 15439, 807, 18136, 943, 4927, 11878, 781, 17037, 951, 17821, 15479, 15776, 814, 9625, 963, 18963, 16087, 768, 17883, 964, 10842, 15395, 822, 18134, 973, 19070, 16243, 821, 18221, 966, 19072, 16248, 410, 16315, 805, 17296, 977, 19102, 16716, 17850, 825, 16657, 935, 18891, 16578, 832, 9625, 16815, 18623, 17510, 1785, 803, 17237, 962, 17526, 14377, 825, 832, 16515, 831",1824-1836,,,,Attorney General,Attorney General,,,,
CSO3-1-1 / A / Image 13|CSO3-1-1 / A / Image 14,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-13|https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-14,https://stors.tas.gov.au/NI/1590149,"Transport of stores (10851)|Claims against Government (10852)|As sending them to an island, from island (10853)|Volunteers (10854)|James Cox  (10937)|Mr L Smith (10938)|Mr Lyttleton (10940)|Deficiency in certain articles (10789)|Flinders Island (14291)|Compensation to Mrs Meredith (14832)|Strength of establishment as to requisitions. Stores (15680)|Richard Williams to be sent (15987)|Quarterly returns of establishment (15988)|Richard Williams to be sent (16060)|James Lawler. Drowned (16139)|A chapel to be built at Flinders Island (15866)|Report of committee refers accounting for charge for military, cattle and sheep. Supplies generally regularly. Proposing scale of rations. Quality of provisions (16473)| A boat and crew required, coxwaine, if he may.  (16475)|Respecting soldiers commuting rations of rum (16502)|Deaths- General Supterintendence, provisions, agriculture (16503)|Mechanics required, general, description of men (16518)|Catechist wife (16529)|W. Nicholls appointed constable quarters, salary (16113)|State of the Commissariat Store (17159)|Surgeon, complaining of Commandant (17160)|An hospital required. A nurse (17161)|Report of Catechist and state of observance of Sabbath. Covenant of catechist telling (17181)|Commandant. Leave of absence (17238)|Complaint against Mr. Dickenson (17389)|Given soldiers wifes part of stole clothing (17400)|Catechist. Rations. Instructing the Natives (17404)|Appearance of at Launceston (17446)|Children to accompany Mr. Robinson (17524)|Report on Mr. Nicholls giving up charge. Supplies to be kept up. See letter Page 574 (17713)|Mary Rogers, Bridget Vine, assistance rendered (17761)|Mr. Robinson (17816)|Coxwain (18037)|Report on beef to be replaced. General (18061)|An Act to make Commandant a Magistrate (17237)|Two men removed by Major Ryan (18181)|Major Ryan (18365)|An estimate of expenditure required (18436)|Return of trials (18456)|A flagellator (18455)|Deer doing well. Beer to be sent, fruit trees  (18467)|Goods damaged  (18478)|Absconding. Robbery at the settlement (18507)|Compensation (Ramsey) his wife. (18742)|Compensation (18760)|Numbered captured and dead. Tomlinson. Letter from Colonial Secretary detailing all the measures adopted  (18798)|Shooting of W. Hay and others (18835)|Mr. Robinson leave of absence (18855)|A store man to assist store keeper (19016)|Catechists quarters burned (19017)|To have aborigines papers (19019)|Loss of Dickson. Gratuity to widow (19042)|A matron to be appointed (W. Humphrey) (19113)|Miscellaneous reports (18 Volumes) (7578)|William Youn owners (8990)",1824-1836,,"7578, 15, 3548, 4072, 10851, 10852, 10853, 10854, 10937, 10938, 10940, 10789, 14291, 14832, 15680, 15987, 15988, 16060, 16139, 15866, 16473, 16475, 16502, 16503, 16518, 16529, 15866, 16113, 17159, 17160, 17161, 17181, 17238, 17389, 17400, 17404, 17446, 17524, 17713, 17761, 17816, 18037, 18061, 17237, 18181, 18365, 18436, 18456, 18455, 18467, 18478, 18507, 18742, 18760, 18798, 18835, 18855, 18928, 19016, 19017, 19019, 19042, 19113, 7578, 8990",1824-1836,,,,Aborigines,Aborigines,,,,
CSO3-1-1 / A / Image 15,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-15,https://stors.tas.gov.au/NI/1590154,"As to General Smith (694)|Land (623)|Recommending Captain Welsh (695)|His departure from Guilford claiming expenses on the circuit (696)|Declining certain appointment (697)|Application for 2 (698)|As to building Judge Advocates Office (699)|Recommending John Abbott (700)|Report of arrival at Rio (6060)|Report of his arrival from England (6063)|Requesting an interview of the Lieutenant Governor (6064)|Allowances (5979)|As to his refunding money paid to him for expenses on his circuit to Launceston (6065)|Letters from England to his Excellency (6067)|Proposition respecting his appointment (6058)|Death (13862)|Widow for a pension, and answer as to her removal of a house 210 acres Swanport Seventh (623) (15334)",1824-1836,"Abbott , Edward (Senior)","694, 623, 695, 696, 697, 698, 699, 700, 6060, 6063, 6064, 5979, 6065, 6067, 6058, 13862, 15334",1824-1836,,,,,,,,,
CSO3-1-1 / A / Image 17,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-17,https://stors.tas.gov.au/NI/1590172,"Mr. Hesse to be employed to prosecute Mr. Hackett (17541)|Cannot attend Council on account of private business (17544)|Practice in council (17550)|Sheep and cattle stealing (17348)|Validity of Sir Thomas Brisbanes grants (883)|Validity of Sir Thomas Brisbanes grant (32)|Commissioners under Supreme Court (17680)|Caveat Commissioners Act (1785)|Respecting the Police Act (17625)|Respecting validity of Sir T. Brisbanes grants (883)|Magistrates neglecting to answer (17755)|Division of duties between him and Solicitor General. Not to be relieved (17859)|Opinion as to reservations in grant deeds (1901)|To purchase Sydney Acts of Council (18028)|Relative to the courts not going to Launceston. Walker Earl (18136)|An act to make Commissariat Flinders a J.P. (17237)|Payment of an account for clerical aid (18282)|Respecting acting as Counsel for Mr. Loane (16657)|Opinion as to the power of government to interfere. Government of the Colony (17296)|Relative to entering a prosecution. Handbills. Libels (4834)|Arrangement upon the appointment McDowell (18459)|Two men at Launceston not brought to trial (18584)|A copy of a letter furnished to Mr. Thomas (18596)|Libel in Colonist paper. A bill brought before Council (18623)|Case of John Elliott (4320)|Not to act as council for W. Meredith (18766)|A retiring room in the Supreme Court (18767)|For extracts of evidence before Council (18783)|Relative to Colonel Snodgrass acting as Lieutenant Governor vice Colonel Arthur (18828)|Justice Montague. Mr McDowell opinion (18852)|Precis of all correspondence upon division of duties (16243)|Case of one """"White"""" for cattle stealing (15217)|Correspondence with Lieutenant Governor Arthur (18890)|Libel in the Horn Boy and Times against Justice Montague, Colonist. (18891)|Case of Chadwick. Solicitor General to prosecute (18893)|Trials at Launceston in 1834 (18894)|Letter from Colonel Arthur. Contain laws proposed by Secretary of State (18948)|Act for bridge at New Norfolk (17526)|Mr. Haldanes opinion as to conduct to the judges (18985)|Samuel Yates. Case (19033)|Arrangement. Supreme Court Act (19076)|Against the postponement of Supreme Court by W. Montague.  (19072)|To proceed ex officio in libel (18910)|Regarding political associations (19120)|Case of William Harrison (19020)|Explanatory. Quarter Session. Criminal Act (19126)|Received John Pagden for a remission of sentence. (18540)|Seizing property convicted felons (6817)|Correspondence with Lieutenant Governor during years 1828 to 1833 (19168)|Correspondence with Lieutenant Governor during years 1828 to 1833 (19170)|Appointment of Mr. Inkersall as clerk (15363)",1824-1836,,"17541, 17544, 17550, 17348, 883, 32, 17680, 1785, 17625, 883, 17755, 17859, 1901, 18028, 18136, 17237, 18282, 16657, 17296, 4834, 18459, 18584, 18596, 18623, 4320, 18766, 18767, 18783, 18828, 18852, 16243, 15217, 18890, 18891, 18893, 18894, 18948, 17526, 18985, 19033, 19076, 19072, 18910, 19120, 19020, 19126, 18540, 6817, 19168, 19170, 15363",1824-1836,,,,Attorney General,Attorney General,,,,
CSO3-1-1 / B / Image 2,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-2,https://stors.tas.gov.au/NI/1590222,For an assigned servant (750)|Land (3640)|For appointment as a wharfinger (833),1824-1836,"Blanchard, J.H","750, 3640, 833",1824-1836,,,,,,,,,
