DIGITAL_OBJECT - URL_TEXT,DIGITAL_OBJECT - URL,RECORD_URL,CENSUS_DISTRICT,PAGE,UNDER14,YEAR_DISPLAY,NAME,YEAR,REMARKS,AGE,FATHER,GUARDIAN,MOTHER
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/484335,New Town,192,No,1837.0,"Wrathall, Mary An",1837.0,,,,,
CEN1/1/20,https://stors.tas.gov.au/CEN1-1-20-191,https://stors.tas.gov.au/NI/472514,Hobart,191,No,1842.0,"Boon, Tas",1842.0,,,,,
CSO1/1/918 page 86,https://stors.tas.gov.au/CSO1-1-918_086,https://stors.tas.gov.au/NI/1612480,Hobart,,,1827.0,"Boon, Eliza",1827.0,Both parents living. Protestant,2,,,
CEN1/1/24,https://stors.tas.gov.au/CEN1-1-24-99,https://stors.tas.gov.au/NI/474882,Hobart,99,No,1842.0,"Dow, John",1842.0,,,,,
CEN1/1/33,https://stors.tas.gov.au/CEN1-1-33-49,https://stors.tas.gov.au/NI/475578,Norfolk Plains,49,No,1842.0,"Foot, Elizabeth",1842.0,,,,,
CEN1/1/108,https://stors.tas.gov.au/CEN1-1-108-162,https://stors.tas.gov.au/NI/475579,Huon,162,No,1851.0,"Foot, James",1851.0,,,,,
CEN1/1/62,https://stors.tas.gov.au/CEN1-1-62-149,https://stors.tas.gov.au/NI/475580,Hobart,149,No,1843.0,"Foot, Jarham",1843.0,,,,,
CEN1/1/84,https://stors.tas.gov.au/CEN1-1-84-231,https://stors.tas.gov.au/NI/475668,Hobart,231,No,1848.0,"Foy, John",1848.0,,,,,
CEN1/1/15,https://stors.tas.gov.au/CEN1-1-15-27,https://stors.tas.gov.au/NI/475992,Hobart,27,No,1842.0,"Gee, Edward",1842.0,,,,,
CEN1/1/113,https://stors.tas.gov.au/CEN1-1-113-850,https://stors.tas.gov.au/NI/475993,Launceston,850,No,1851.0,"Gee, Louisa",1851.0,,,,,
CSO49/1/7,,https://stors.tas.gov.au/NI/475994,Morven,205,No,1838.0,"Gee, Thomas",1838.0,,,,,
CSO49/1/7,,https://stors.tas.gov.au/NI/475995,Morven,205,No,1838.0,"Gee, William",1838.0,,,,,
CEN1/1/108,https://stors.tas.gov.au/CEN1-1-108-121,https://stors.tas.gov.au/NI/475996,Huon,121,No,1851.0,"Gee, William",1851.0,,,,,
CSO1/1/918 page 10|CSO1/1/918 page 41,https://stors.tas.gov.au/CSO1-1-918_010|https://stors.tas.gov.au/CSO1-1-918_041,https://stors.tas.gov.au/NI/1612962,Hobart,,,1827.0,"Gee, John",1827.0,Both parents living. Protestant,8,,,
CSO1/1/918 page 10|CSO1/1/918 page 41,https://stors.tas.gov.au/CSO1-1-918_010|https://stors.tas.gov.au/CSO1-1-918_041,https://stors.tas.gov.au/NI/1612963,Hobart,,,1827.0,"Gee, Maria",1827.0,Both parents living. Protestant,10,,,
CSO1/1/918 page 10|CSO1/1/918 page 41,https://stors.tas.gov.au/CSO1-1-918_010|https://stors.tas.gov.au/CSO1-1-918_041,https://stors.tas.gov.au/NI/1612964,Hobart,,,1827.0,"Gee, Phoebe",1827.0,Both parents living. Protestant,5,,,
CEN1/1/18,https://stors.tas.gov.au/CEN1-1-18-183,https://stors.tas.gov.au/NI/476156,Hobart,183,No,1842.0,"Gill, James",1842.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/476157,New Town,76,No,1837.0,"Gill, John",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/476159,New Town,76,No,1837.0,"Gill, Maryan",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/476160,New Town,76,Yes,1837.0,"Gill, William",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/476161,New Town,76,Yes,1837.0,"Gill, Ann",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/476162,New Town,76,Yes,1837.0,"Gill, Eliser",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/476163,New Town,76,Yes,1837.0,"Gill, Thomas",1837.0,,,,,
