id,title,placename,state,lga,parish,feature_term,latitude,longitude,source,flag,description,datestart,dateend,linkback,tlcmaplink,layerlink,state_id
a16b32,Abels Bay,Abels Bay,TAS,Huon Valley,,Suburb/Locality,-43.22000122,147.0899963,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b32,http://tlcmap.org/ghap,1288
a16b39,Aberdeen,Aberdeen,TAS,Devonport,,Suburb/Locality,-41.24000168,146.3200073,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b39,http://tlcmap.org/ghap,1288
a16b42,Acacia Hills,Acacia Hills,TAS,Kentish,,Suburb/Locality,-41.27000046,146.3300018,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b42,http://tlcmap.org/ghap,1288
a13ddf,Surrey Hills,Surrey Hills,TAS,WARATAH-WYNYARD,,District1,-41.50999832,145.7100067,Australian Gazetteer,,,,,,http://tlcmap.org/ghap/search?id=a13ddf,http://tlcmap.org/ghap,1288
a13df2,Goulds Country,Goulds Country,TAS,BREAK O'DAY,,Suburb/Locality,-41.24000168,148.0500031,Australian Gazetteer,,,,,,http://tlcmap.org/ghap/search?id=a13df2,http://tlcmap.org/ghap,1288
a16b61,Adamsfield,Adamsfield,TAS,Derwent Valley,,District1,-42.72000122,146.3300018,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b61,http://tlcmap.org/ghap,1288
a16b6d,Adventure Bay,Adventure Bay,TAS,Kingborough,,Suburb/Locality,-43.34999847,147.3200073,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b6d,http://tlcmap.org/ghap,1288
a175e9,Central Coast,Central Coast,TAS,Central Coast,,Municipality/City,-41.28,146.041,TAS LGA,Only accurate to LGA,SpecLegis,,,,http://tlcmap.org/ghap/search?id=a175e9,http://tlcmap.org/ghap,1288
a16b29,Abbotsham,Abbotsham,TAS,Central Coast,,Suburb/Locality,-41.20999908,146.1699982,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b29,http://tlcmap.org/ghap,1288
a168e2,York Plains,York Plains,TAS,SOUTHERN MIDLANDS,,Suburb/Locality,-42.27000046,147.4400024,Australian Gazetteer,,on the E side of the Midland highway about 8km NE of Oatlands,,,,http://tlcmap.org/ghap/search?id=a168e2,http://tlcmap.org/ghap,1288
a168f7,Perth,Perth,TAS,NORTHERN MIDLANDS,,Suburb/Locality,-41.61999893,147.1699982,Australian Gazetteer,,about 13km S of Launceston and 5km NE by east of Longford,,,,http://tlcmap.org/ghap/search?id=a168f7,http://tlcmap.org/ghap,1288
